libor;overnight
2.38175;2.23
2.36675;2.195
2.3355;2.16
2.28875;2.15
2.2875;2.15
2.272;2.14
2.26863;2.18
2.29625;2.12
2.25875;2.205
2.256;2.135
2.25888;2.13
2.24775;2.14
2.2375;2.11
2.188;2.08
2.18188;2.08
2.20288;2.07
2.17175;2.07
2.1715;2.04
2.16375;2.03
2.13125;2
2.11525;2.02
2.14213;2.06
2.20663;2.15
2.26775;2.11
2.23675;2.11
2.25875;2.1
2.235;2.15
2.27413;2.125
2.28913;2.15
2.31125;2.14
2.31125;2.19
2.34;2.19
2.36963;2.2
2.37638;2.2
2.364;2.1775
2.37;2.18
2.3075;2.2
2.36113;2.18
2.36738;2.2
2.38238;2.22
2.3555;2.21
2.38763;2.23
2.38825;2.21
2.39263;2.26
2.41288;2.23
2.42113;2.25
2.44125;2.29
2.46;2.3
2.48163;2.28
2.47238;2.285
2.47625;2.28
2.46538;2.24
2.40138;2.21
2.34813;2.2
2.37013;2.1775
2.31575;2.19
2.3325;2.19
2.345;2.175
2.3575;2.238
2.4115;2.25
2.40963;2.25
2.4575;2.32
2.46625;2.3
2.4975;2.31
2.50288;2.28
2.48038;2.29
2.48538;2.26
2.44363;2.2
2.3825;2.23
2.38;2.23
2.41;2.24
2.41125;2.24
2.3675;2.18
2.37;2.245
2.34788;2.18
2.343;2.18
2.30625;2.19
2.31875;2.175
2.32013;2.17
2.3215;2.17
2.32375;2.17
2.32375;2.17
2.32375;2.17
2.30238;2.1575
2.31013;2.15
2.3;2.13
2.3;2.13
2.2725;2.155
2.30025;2.13
2.28125;2.09
2.26675;2.098
2.25663;2.09
2.23525;2.06
2.17;2.05
2.19;2.065
2.19113;2.07
2.2015;2.08
2.165;2.08
2.204;2.08
2.19513;2.045
2.1725;2.04
2.17063;2.03
2.15613;2.04
2.17038;2.06
2.20038;2.04
2.18163;2.035
2.2355;2.13
2.26038;2.11
2.25013;2.11
2.21788;2.07
2.20163;2.07
2.20438;2.063
2.22;2.04
2.16163;2.04
2.14738;2.05
2.18713;2.026
2.15;2.05
2.14338;2.04
2.14863;2.05
2.13413;2
2.11163;2.02
2.14738;2.03
2.15625;2.05
2.18638;2.06
2.15525;2.01
2.13413;1.97
2.0975;1.99
2.082;1.97
2.08375;1.99
2.11613;2.03
2.15338;2.035
2.14563;2.04
2.1545;1.995
2.07025;1.97
2.07863;1.98
2.08425;2.005
2.0875;1.99
2.06725;1.98
2.07263;1.975
2.07038;1.9825
2.06313;1.9425
2.03875;1.92
2.03625;1.92
2.02125;1.92
2.02463;1.93
2.01425;1.89
1.96;1.85
1.94275;1.845
1.9575;1.88
1.96088;1.87
1.97625;1.88
1.971;1.96
2.07125;2.07
2.15125;2.04
2.13163;2.005
2.10913;1.9925
2.11613;2.01
2.11613;1.995
2.11613;1.995
2.13975;2.04
2.1625;2.06
2.16775;2.06
2.17013;2.04
2.15063;2.04
2.16875;2.06
2.20138;2.0675
2.188;2.06
2.17113;2.075
2.225;2.0925
